Time period and codes,"Furnishing, household equipment and routine HH maintenance","Furniture and furnishings, carpets and other floor coverings",Furniture and furnishings,Carpets and other floor coverings,"Repair of furniture, furnishings and floor coverings",Household textiles,Household appliances,Major appliances whether electrical or not,Small electric household appliances,Repair of household appliances,"Glassware, tableware and household utensils",Tools and equipment for house and garden,Major tools and equipment,Small tools and equipment,Goods and services for routine household maintenance,Non-durable household goods,Domestic and household services,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COICOP identifier code,05,05.1,05.1.1,05.1.2,05.1.3,05.2,05.3,05.3.1,05.3.2,05.3.3,05.4,05.5,05.5.1,05.5.2,05.6,05.6.1,05.6.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CDID identifier code,ADFY,ADFZ,ADVM,ADVN,ADVO,ADGG,ADGL,ADVP,ADVQ,ADVR,ADGM,ADGN,ADVS,ADVT,ADGO,ADVU,ADVV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020 Q4,"19,632","7,443","6,312","1,127",4,"2,250","3,201","2,169",899,133,"1,994","1,838",127,"1,711","2,906","1,816","1,090",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021 Q1,"15,963","5,732","4,814",910,8,"1,601","2,732","2,277",365,90,"1,490","1,705",316,"1,389","2,703","1,777",926,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021 Q2,"18,514","7,294","5,780","1,506",8,"1,974","2,812","2,162",537,113,"1,669","1,972",287,"1,685","2,793","1,883",910,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021 Q3,"18,096","7,166","5,757","1,399",10,"1,877","2,885","2,251",488,146,"1,582","1,756",297,"1,459","2,830","1,847",983,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021 Q4,"20,868","8,231","6,775","1,446",10,"2,248","3,791","3,047",546,198,"1,920","1,824",287,"1,537","2,854","1,897",957,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022 Q1,"18,308","7,542","6,023","1,508",11,"1,985","3,079","2,578",367,134,"1,557","1,459",197,"1,262","2,686","1,842",844,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022 Q2,"18,771","7,540","6,082","1,448",10,"2,049","3,007","2,411",433,163,"1,631","1,621",344,"1,277","2,923","1,884","1,039",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022 Q3,"18,402","7,306","5,864","1,432",10,"2,024","3,061","2,551",363,147,"1,597","1,516",316,"1,200","2,898","1,864","1,034",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022 Q4,"21,371","8,711","7,163","1,538",10,"2,547","3,714","3,081",503,130,"1,965","1,593",209,"1,384","2,841","1,997",844,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
